id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Team,Season,League
10943,Samuel Lino,31,1580,3,6.083708981052041,4,3.475868873298168,45,22,3,0,D F M S,Atletico Madrid,3,6.083708981052041,14.264972588047385,6.56436438113451,Atletico_Madrid,2024,La Liga
2518,Marcos Llorente,33,2515,2,0.6808289606124163,4,3.794648887589574,16,28,0,1,D M S,Atletico Madrid,2,0.6808289606124163,14.097333351150155,11.85494233854115,Atletico_Madrid,2024,La Liga
5050,Clement Lenglet,23,1987,2,2.1961113438010216,1,0.9537689723074436,10,5,9,0,D,Atletico Madrid,2,2.1961113438010216,11.544151531532407,11.482247652485967,Atletico_Madrid,2024,La Liga
9796,Giuliano Simeone,33,1988,2,3.001487374305725,6,7.1847349517047405,22,24,4,0,F M S,Atletico Madrid,2,3.001487374305725,16.635959770530462,8.725617446005344,Atletico_Madrid,2024,La Liga
681,César Azpilicueta,14,881,1,0.18247812055051327,0,0.08769189566373825,5,3,0,0,D S,Atletico Madrid,1,0.18247812055051327,3.8849698714911938,3.7627249024808407,Atletico_Madrid,2024,La Liga
2269,Koke,32,1915,1,1.498866917565465,1,1.3334013875573874,11,16,4,0,M S,Atletico Madrid,1,1.498866917565465,11.016456995159388,9.087679360061884,Atletico_Madrid,2024,La Liga
7276,Robin Le Normand,27,2140,1,1.3955917339771986,0,0.6797869801521301,10,3,8,0,D S,Atletico Madrid,1,1.3955917339771986,7.784352958202362,7.242462515830994,Atletico_Madrid,2024,La Liga
10494,Pablo Barrios Rivas,31,2347,1,1.3707369193434715,4,2.9307284597307444,29,26,4,1,M S,Atletico Madrid,1,1.3707369193434715,17.51480458304286,14.883386809378862,Atletico_Madrid,2024,La Liga
2261,Jan Oblak,36,3240,0,0,0,0,0,0,0,0,GK,Atletico Madrid,0,0,5.667950822040439,5.667950822040439,Atletico_Madrid,2024,La Liga
2278,Giménez,27,1984,0,0.4644579738378525,1,0.36444729566574097,5,2,3,0,D S,Atletico Madrid,0,0.4644579738378525,8.44221980124712,8.077772490680218,Atletico_Madrid,2024,La Liga
3059,Axel Witsel,14,845,0,0.061065591871738434,1,0.8424561601132154,1,2,1,0,D S,Atletico Madrid,0,0.061065591871738434,3.891527419909835,3.0490712728351355,Atletico_Madrid,2024,La Liga
3425,Thomas Lemar,5,67,0,0.40722107887268066,0,0.22326013073325157,2,2,0,0,S,Atletico Madrid,0,0.40722107887268066,0.6370882447808981,0.26589820347726345,Atletico_Madrid,2024,La Liga
7095,Juan Musso,2,180,0,0,0,0,0,0,0,0,GK,Atletico Madrid,0,0,0.09412210062146187,0.09412210062146187,Atletico_Madrid,2024,La Liga
7385,Javi Galán,25,1806,0,0.24462206475436687,2,3.3247619457542896,9,14,8,0,D S,Atletico Madrid,0,0.24462206475436687,9.763243904337287,7.868124481290579,Atletico_Madrid,2024,La Liga
7432,Reinildo,19,916,0,0.05156291276216507,0,0.18367374688386917,1,2,4,0,D S,Atletico Madrid,0,0.05156291276216507,3.498327238485217,3.402019379660487,Atletico_Madrid,2024,La Liga
8002,Rodrigo Riquelme,16,493,0,1.4374090656638145,1,1.0267814565449953,14,15,0,0,D M S,Atletico Madrid,0,1.4374090656638145,3.355600330978632,1.17163953371346,Atletico_Madrid,2024,La Liga
8963,Nahuel Molina,30,1565,0,0.9986370727419853,3,1.9341567233204842,9,13,1,0,D S,Atletico Madrid,0,0.9986370727419853,9.530625693500042,7.783950371667743,Atletico_Madrid,2024,La Liga
12115,Adrián Niño,1,10,0,0.15880247950553894,0,0,2,0,0,0,S,Atletico Madrid,0,0.15880247950553894,0.15880247950553894,0,Atletico_Madrid,2024,La Liga
2234,Mikel Oyarzabal,35,2291,9,10.296421762555838,3,2.9014988150447607,43,15,4,1,F M S,Real Sociedad,5,7.323311295360327,14.105824938043952,4.8401750745251775,Real_Sociedad,2024,La Liga
8001,Takefusa Kubo,36,2392,5,4.2247374802827835,0,5.490435244515538,43,45,5,0,F M S,Real Sociedad,5,4.2247374802827835,14.762839745730162,6.52563825622201,Real_Sociedad,2024,La Liga
6227,Brais Méndez,27,1552,3,4.05005325563252,2,2.2719360133633018,28,23,4,0,F M S,Real Sociedad,3,4.05005325563252,6.52224512770772,1.4750360362231731,Real_Sociedad,2024,La Liga
13048,Orri Óskarsson,23,929,3,5.614245757460594,0,0.17334534134715796,19,5,1,0,F S,Real Sociedad,3,5.614245757460594,5.697332162410021,0.02703244984149933,Real_Sociedad,2024,La Liga
6656,Sergio Gómez,37,2745,2,1.8784845154732466,5,8.346578739583492,18,56,4,0,D F M S,Real Sociedad,2,1.8784845154732466,11.613184611313045,6.642251364886761,Real_Sociedad,2024,La Liga
7526,Martín Zubimendi,36,2966,2,3.922204528003931,1,1.213069198653102,24,19,6,0,M S,Real Sociedad,2,3.922204528003931,13.16597349382937,9.92495701648295,Real_Sociedad,2024,La Liga
7882,Sheraldo Becker,22,996,2,1.8835409861057997,1,1.7872297391295433,22,8,1,1,F M S,Real Sociedad,2,1.8835409861057997,4.543094903230667,1.0016518905758858,Real_Sociedad,2024,La Liga
13267,Arkaitz Mariezkurrena,9,219,2,1.1344271898269653,0,0.5130060613155365,10,2,1,0,F S,Real Sociedad,2,1.1344271898269653,1.1769748777151108,0.46711962297558784,Real_Sociedad,2024,La Liga
7308,Ander Barrenetxea,30,1271,1,1.9731221813708544,3,2.445582341402769,25,16,6,0,F M S,Real Sociedad,1,1.9731221813708544,7.312131518498063,3.8329225573688745,Real_Sociedad,2024,La Liga
8760,Arsen Zakharyan,3,70,1,0.13745737075805664,0,0.11272140592336655,4,1,0,0,M S,Real Sociedad,1,0.13745737075805664,0.16559231281280518,0.028134934604167938,Real_Sociedad,2024,La Liga
9466,Jon Ander Olasagasti,22,821,1,1.2222821153700352,1,1.062180433422327,13,6,2,0,M S,Real Sociedad,1,1.2222821153700352,4.571244703605771,2.899324605241418,Real_Sociedad,2024,La Liga
11185,Pablo Marín,23,1224,1,2.1962965931743383,2,1.1745108868926764,21,14,3,0,M S,Real Sociedad,1,2.1962965931743383,4.396219722926617,1.8085170537233353,Real_Sociedad,2024,La Liga
12182,Jon Aramburu,35,2466,1,0.45412842743098736,1,0.9028189368546009,11,15,8,0,D S,Real Sociedad,1,0.45412842743098736,8.685062544420362,7.967627672478557,Real_Sociedad,2024,La Liga
12862,Luka Sucic,29,1804,1,3.661727663129568,1,3.427332490682602,43,25,4,0,F M S,Real Sociedad,1,3.661727663129568,10.962948897853494,5.249830558896065,Real_Sociedad,2024,La Liga
1450,Umar Sadiq,7,210,0,0.2788557894527912,0,0.40936294198036194,5,1,1,0,F S,Real Sociedad,0,0.2788557894527912,0.6237072236835957,0.020848391577601433,Real_Sociedad,2024,La Liga
2228,Aritz Elustondo,22,1452,0,0.5125560872256756,0,0.21774104237556458,4,4,3,1,D S,Real Sociedad,0,0.5125560872256756,4.034376330673695,3.880896545946598,Real_Sociedad,2024,La Liga
2417,Igor Zubeldia,28,2283,0,0.9101601960137486,0,0.29074523597955704,12,4,6,1,D S,Real Sociedad,0,0.9101601960137486,6.002718448638916,5.843149080872536,Real_Sociedad,2024,La Liga
2418,Álvaro Odriozola,2,35,0,0,0,0,0,0,1,0,S,Real Sociedad,0,0,0.028529087081551552,0.028529087081551552,Real_Sociedad,2024,La Liga
2555,Remiro,36,3240,0,0,0,0.020918255671858788,0,1,0,0,GK,Real Sociedad,0,0,3.760053095407784,3.739134839735925,Real_Sociedad,2024,La Liga
3239,Hamari Traore,11,725,0,0.32943278551101685,1,0.15527166426181793,1,3,2,0,D S,Real Sociedad,0,0.32943278551101685,2.319479566067457,2.225889105349779,Real_Sociedad,2024,La Liga
6935,Naif Aguerd,21,1772,0,2.1500954031944275,0,0.35499830543994904,15,5,4,0,D,Real Sociedad,0,2.1500954031944275,5.742619335651398,4.794124662876129,Real_Sociedad,2024,La Liga
7306,Aihen Muñoz,21,1098,0,0.15841398853808641,0,0.13091121800243855,6,3,5,0,D S,Real Sociedad,0,0.15841398853808641,2.255076190456748,1.9932167269289494,Real_Sociedad,2024,La Liga
8413,Javier López,29,1934,0,0.1420955304056406,0,0.8678923957049847,5,5,4,0,D S,Real Sociedad,0,0.1420955304056406,3.7143019922077656,3.4650006629526615,Real_Sociedad,2024,La Liga
8423,Jon Pacheco Dozagarat,14,849,0,0.09304110705852509,0,0.06140895560383797,1,1,3,0,D S,Real Sociedad,0,0.09304110705852509,1.0294557493180037,1.0294557493180037,Real_Sociedad,2024,La Liga
8861,Urko Gonzalez,1,47,0,0,0,0,0,0,1,0,M,Real Sociedad,0,0,0,0,Real_Sociedad,2024,La Liga
9198,Unai Marrero,2,180,0,0,0,0,0,0,0,0,GK,Real Sociedad,0,0,0,0,Real_Sociedad,2024,La Liga
9465,Beñat Turrientes,21,933,0,0.3414947632700205,0,0.3740350604057312,7,3,4,0,M S,Real Sociedad,0,0.3414947632700205,3.690701810643077,3.262913217768073,Real_Sociedad,2024,La Liga
11204,Jon Magunacelaya,2,5,0,0,0,0,0,0,0,0,S,Real Sociedad,0,0,0.6653539538383484,0.6653539538383484,Real_Sociedad,2024,La Liga
12353,Jon Martín,13,884,0,0.5016385391354561,1,0.15742150135338306,9,4,2,0,D S,Real Sociedad,0,0.5016385391354561,1.80347996391356,1.7860948592424393,Real_Sociedad,2024,La Liga
13482,Luken Beitia,1,4,0,0,0,0,0,0,0,0,S,Real Sociedad,0,0,0,0,Real_Sociedad,2024,La Liga
13558,Daniel Díaz,1,7,0,0,0,0,0,0,0,0,S,Real Sociedad,0,0,0,0,Real_Sociedad,2024,La Liga
5706,Dodi Lukebakio,38,3117,11,9.242684002034366,2,5.390696790069342,94,54,3,1,F M S,Sevilla,10,8.499406362883747,14.772395074367523,3.354012044146657,Sevilla,2024,La Liga
8409,Juanlu Sanchez,32,1740,4,2.9181873984634876,4,2.713099295273423,13,25,4,1,D F M S,Sevilla,4,2.9181873984634876,9.498570716939867,5.508796711452305,Sevilla,2024,La Liga
12305,Isaac Romero,31,2200,4,8.177621133625507,2,2.5907919127494097,54,20,10,1,F M S,Sevilla,4,7.43434352427721,10.549905876629055,1.726088616065681,Sevilla,2024,La Liga
10334,Kike Salas,31,2238,3,2.17479966301471,2,0.7522149085998535,23,6,6,0,D S,Sevilla,3,2.17479966301471,7.3058014791458845,6.531272469088435,Sevilla,2024,La Liga
